id,hz,py,hv,pos,mn,audioUrl,mw,exSample,exPinyin,exMeaning,hskLevel,hanVietLevel,isPublished,createdAt
w-ma2,吗,ma,ma,part,"{""vi"": ""không [từ để hỏi]"", ""en"": ""pt. used at the end of a sentence to turn a declarative sentence into a yes-or-no interrogative sentence""}",,,你好吗？,Nǐ hǎo ma?,"{""vi"": ""Bạn có khỏe không?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-ne2,呢,ne,nê,part,"{""vi"": ""dùng ở cuối câu trần thuật để nhấn mạnh trạng thái đang tiếp diễn, hoặc tạo sắc thái mềm, tự nhiên trong hội thoại"", ""en"": ""used at the end of a declarative sentence""}",,,我在写作业呢。,Wǒ zài xiě zuòyè ne.,"{""vi"": ""Tôi đang làm bài tập đây."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-shijian,时间,shíjiān,thời gian,n,"{""vi"": ""thời gian"", ""en"": ""time""}",,"段, 点 [duàn, diǎn]",我没有时间。,Wǒ méiyǒu shíjiān.,"{""vi"": ""Tôi không có thời gian."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-hao2,号,hào,hào,n,"{""vi"": ""ngày"", ""en"": ""date""}",,,明天是二十号。,Míngtiān shì èrshí hào.,"{""vi"": ""Ngày mai là ngày hai mươi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xiaoshi,小时,xiǎoshí,tiểu thời,n,"{""vi"": ""tiếng, giờ đồng hồ"", ""en"": ""hour""}",,"个, 半, 些 [gè, bàn, xiē]",他跑步半个小时。,Tā pǎobù bàn gè xiǎoshí.,"{""vi"": ""Anh ấy chạy bộ nửa tiếng."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-yue,月,yuè,nguyệt,n,"{""vi"": ""mặt trăng, tháng"", ""en"": ""month""}",,"个, 轮 [gè, lún]",一年有十二月。,Yī nián yǒu shí’èr yuè.,"{""vi"": ""Một năm có mười hai tháng."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-baitian,白天,báitiān,bạch thiên,n,"{""vi"": ""ban ngày"", ""en"": ""day, daytime""}",,,白天我去上学。,Báitiān wǒ qù shàngxué.,"{""vi"": ""Ban ngày tôi đi học."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-fenzhong,分钟,fēnzhōng,phân chung,mw,"{""vi"": ""phút; khoảng thời gian ngắn"", ""en"": ""minute""}",,,一分钟,Yì fēn zhōng,"{""vi"": ""Một phút"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-shibushi,是不是,shì bùshì,thị bất thị,,"{""vi"": ""có phải hay không"", ""en"": ""whether or not""}",,,你是不是学生？,Nǐ shì bùshì xuéshēng?,"{""vi"": ""Bạn có phải là học sinh không?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-shi3,是,shì,thị,v,"{""vi"": ""thì, là"", ""en"": ""be""}",,,他是我朋友。,Tā shì wǒ péngyou.,"{""vi"": ""Anh ấy là bạn của tôi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-bu,不,bù,bất,adv,"{""vi"": ""không"", ""en"": ""Not""}",,,我不喜欢你。,Wǒ bù xǐhuan nǐ.,"{""vi"": ""Tôi không thích cậu."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-buda,不大,bù dà,bất đại,adj,"{""vi"": ""nhỏ, không lớn"", ""en"": ""not big, no problem""}",,,这个房间不大。,Zhège fángjiān bú dà.,"{""vi"": ""Căn phòng này không to."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-budui,不对,bùduì,bất đối,adj,"{""vi"": ""không đúng"", ""en"": ""wrong""}",,,他说的话不对。,Tā shuō de huà bùduì.,"{""vi"": ""Điều anh ấy nói là sai."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-buyao,不要,bú yào,bất yếu,adv,"{""vi"": ""không cần, đừng"", ""en"": ""don’t""}",,,我不要别的东西了，谢谢。,"Wǒ bùyào bié de dōngxīle, xièxiè.","{""vi"": ""Tôi không muốn gì khác nữa, cảm ơn."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-mei2,没,méi,một,v,"{""vi"": ""không, chưa"", ""en"": ""not""}",,,我没有钱。,Wǒ méiyǒu qián.,"{""vi"": ""Tôi không có tiền."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-meiyou,没有,méiyǒu,một hữu,v,"{""vi"": ""không có"", ""en"": ""not have""}",,,他没有时间。,Tā méiyǒu shíjiān.,"{""vi"": ""Anh ấy không có thời gian."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-yiban,一半,yībàn,nhất bán,num,"{""vi"": ""một nửa"", ""en"": ""half""}",,,这本书我看一半。,Zhè běn shū wǒ kàn yībàn.,"{""vi"": ""Quyển sách này tôi đọc một nửa."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-bannian,半年,bànnián,bán niên,n,"{""vi"": ""nửa năm"", ""en"": ""half a year""}",,,我学汉语半年了。,Wǒ xué hànyǔ bànnián le.,"{""vi"": ""Tôi học tiếng Trung được nửa năm rồi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-shangban,上班,shàngbān,thượng ban,v,"{""vi"": ""đi làm"", ""en"": ""go to work""}",,,他今天不上班。,Tā jīntiān bù shàngbān.,"{""vi"": ""Hôm nay anh ấy không đi làm."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xiaban,下班,xiàbān,hạ ban,v,"{""vi"": ""tan làm"", ""en"": ""get off work""}",,,你几点下班？,Nǐ jǐ diǎn xiàbān?,"{""vi"": ""Mấy giờ bạn tan làm?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-baozi,包子,bāozi,bao tử,n,"{""vi"": ""bánh bao"", ""en"": ""steamed stuffed bun""}",,"笼, 盘, 斤, 个 [lóng, pán, jīn, gè]",我喜欢吃包子。,Wǒ xǐhuan chī bāozi.,"{""vi"": ""Tôi thích ăn bánh bao."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-mianbao,面包,miànbāo,diện bao,n,"{""vi"": ""bánh mì"", ""en"": ""bread""}",,"个, 片, 袋, 块 [gè, piàn, dài, kuài]",面包都卖完了。,Miànbāo dōu mài wánle.,"{""vi"": ""Bánh mì đã bán hết rồi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-shangbian,上边,shàngbian,thượng biên,n,"{""vi"": ""bên trên, phía trên"", ""en"": ""above; on""}",,,书在桌子上边。,Shū zài zhuōzi shàngbian.,"{""vi"": ""Sách ở bên trên bàn."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-xiabian,下边,xiàbian,hạ biên,n,"{""vi"": ""bên dưới"", ""en"": ""below; under""}",,,桌子下边有书包。,Zhuōzi xiàbian yǒu shūbāo.,"{""vi"": ""Dưới bàn có cặp sách."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-dongbian,东边,dōngbian,đông biên,n,"{""vi"": ""phía đông"", ""en"": ""east [side]""}",,,我家东边是学校。,Wǒjiā dōngbian shì xuéxiào.,"{""vi"": ""Phía đông của nhà tôi là trường học."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-qianbian,前边,qiánbian,tiền biên,n,"{""vi"": ""phía trước"", ""en"": ""front""}",,,前边有一辆汽车。,Qiánbian yǒu yī liàng qìchē.,"{""vi"": ""Đằng trước có một chiếc ô tô."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-beibian,北边,běibian,bắc biên,n,"{""vi"": ""phía bắc"", ""en"": ""north [side]""}",,,北边有一座山。,Běibian yǒu yī zuò shān.,"{""vi"": ""Phía bắc có một ngọn núi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-nanbian,南边,nánbian,nam biên,n,"{""vi"": ""phía nam"", ""en"": ""south [side]""}",,,公园在南边。,Gōngyuán zài nánbian.,"{""vi"": ""Công viên ở phía nam."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-houbian,后边,hòubian,hậu biên,n,"{""vi"": ""phía sau"", ""en"": ""behind; back""}",,,车后边有很多人。,Chē hòubian yǒu hěn duō rén.,"{""vi"": ""Phía sau xe có rất nhiều người."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-waibian,外边,wàibian,ngoại biên,n,"{""vi"": ""bên ngoài"", ""en"": ""out, outside""}",,,我在外边等你。,Wǒ zài wàibian děng nǐ.,"{""vi"": ""Tôi chờ bạn ở bên ngoài."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-xibian,西边,xībian,tây biên,n,"{""vi"": ""phía tây"", ""en"": ""west [side]""}",,,学校在西边。,Xuéxiào zài xībian.,"{""vi"": ""Trường học ở phía tây."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-zhebian,这边,zhèbian,già biên,pron,"{""vi"": ""bên này"", ""en"": ""this side""}",,,我在这边。,Wǒ zài zhèbian.,"{""vi"": ""Tôi ở bên này."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nabian,那边,nàbian,nã biên,pron,"{""vi"": ""bên kia, bên đó"", ""en"": ""over there""}",,,学校在那边。,Xuéxiào zài nàbian.,"{""vi"": ""Trường học ở bên kia."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-libian,里边,lǐbian,lý biên,n,"{""vi"": ""phía trong"", ""en"": ""inside""}",,,我们在车里边等你。,Wǒmen zài chē lǐbian děng nǐ.,"{""vi"": ""Chúng tôi đợi bạn trong xe."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-shengbing,生病,shēngbìng,sinh bệnh,v,"{""vi"": ""đổ bệnh, bị ốm"", ""en"": ""sick""}",,,我昨天生病了。,Wǒ zuótiān shēngbìng le.,"{""vi"": ""Hôm qua tôi bị ốm."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-bingren,病人,bìngrén,bệnh nhân,n,"{""vi"": ""bệnh nhân"", ""en"": ""patient""}",,"个, 位 [gè, wèi]",我正在给病人看病。,Wǒ zhèngzài gěi bìngrén kànbìng.,"{""vi"": ""Tôi đang khám cho một bệnh nhân."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-kanbing,看病,kànbìng,khan bệnh,v,"{""vi"": ""khám bệnh"", ""en"": ""see a doctor""}",,,我去医院看病。,Wǒ qù yīyuàn kànbìng.,"{""vi"": ""Tôi đi bệnh viện khám bệnh."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-shangche,上车,shàng chē,thượng xa,v,"{""vi"": ""lên xe"", ""en"": ""get on""}",,,他上车了。,Tā shàng chē le.,"{""vi"": ""Anh ấy lên xe rồi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xiache,下车,xià chē,hạ xa,v,"{""vi"": ""xuống xe"", ""en"": ""get off [a bus, train, etc.]""}",,,他在学校下车。,Tā zài xuéxiào xià chē.,"{""vi"": ""Anh ấy xuống xe ở trường học."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-chuzuche,出租车,chūzū chē,xuất xa,n,"{""vi"": ""xe taxi"", ""en"": ""taxi""}",,辆 [liàng],坐出租车。,Zuò chūzū chē.,"{""vi"": ""Ngồi taxi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-kaiche2,开车,kāichē,khai xa,v,"{""vi"": ""lái xe"", ""en"": ""drive""}",,,他开车去朋友家。,Tā kāichē qù péngyou jiā.,"{""vi"": ""Anh ấy lái xe đến nhà bạn bè."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-qiche,汽车,qìchē,xa,n,"{""vi"": ""ôtô, xe hơi"", ""en"": ""car""}",,"辆, 种, 款 [liàng, zhǒng, kuǎn]",我有一辆汽车。,Wǒ yǒu yī liàng qìchē.,"{""vi"": ""Tôi có một chiếc ô tô."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-huoche,火车,huǒchē,xa,n,"{""vi"": ""xe lửa"", ""en"": ""train""}",,"个, 列, 班, 趟 [gè, liè, bān, tàng]",他每天坐火车上班。,Tā měitiān zuò huǒchē shàngbān.,"{""vi"": ""Anh ấy đi làm bằng tàu hỏa mỗi ngày."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-cheshang,车上,chē shàng,xa thượng,,"{""vi"": ""trên xe"", ""en"": ""in the car, on a bus, etc""}",,,车上有很多人。,Chē shàng yǒu hěnduō rén.,"{""vi"": ""Trên xe có rất nhiều người."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-chepiao,车票,chēpiào,xa phiếu,n,"{""vi"": ""vé xe"", ""en"": ""ticket""}",,张 [zhāng],我找到车票了。,Wǒ zhǎodào chēpiào le.,"{""vi"": ""Tôi tìm thấy vé xe rồi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-chifan,吃饭,chīfàn,ngật phạn,v,"{""vi"": ""ăn cơm"", ""en"": ""have a meal""}",,,你吃饭了吗？,Nǐ chīfàn le ma?,"{""vi"": ""Bạn ăn cơm chưa?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-haochi,好吃,hǎo chī,hảo ngật,adj,"{""vi"": ""ngon"", ""en"": ""yummy""}",,,妈妈做的菜很好吃。,Māma zuò de cài hěn hǎo chī.,"{""vi"": ""Món mẹ nấu rất ngon."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-chulai,出来,chūlái,xuất lai,v,"{""vi"": ""xuất hiện, đi ra"", ""en"": ""come out""}",,,请你出来一下。,Qǐng nǐ chūlái yīxià.,"{""vi"": ""Mời bạn ra ngoài một chút."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-chuzuche2,出租车,chūzū chē,xuất xa,n,"{""vi"": ""xe taxi"", ""en"": ""taxi""}",,辆 [liàng],我坐出租车去机场。,Wǒ zuò chūzū chē qù jīchǎng.,"{""vi"": ""Tôi đi taxi ra sân bay."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-shangci,上次,shàng cì,thượng thứ,n,"{""vi"": ""lần trước"", ""en"": ""last time""}",,,我上次去北京。,Wǒ shàng cì qù běijīng.,"{""vi"": ""Lần trước tôi đi Bắc Kinh."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xiaci,下次,xià cì,hạ thứ,n,"{""vi"": ""lần kế tiếp, lần sau"", ""en"": ""next time""}",,,他下次会来中国。,Tā xià cì huì lái zhōngguó.,"{""vi"": ""Lần sau anh ấy sẽ đến Trung Quốc."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-buda2,不大,bù dà,bất đại,adj,"{""vi"": ""nhỏ, không lớn"", ""en"": ""not big, no problem""}",,,这个苹果不大，但是很甜。,"Zhège píngguǒ bù dà, dànshì hěn tián.","{""vi"": ""Quả táo này không to nhưng rất ngọt."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-daxue,大学,dàxué,đại học,n,"{""vi"": ""đại học"", ""en"": ""university""}",,"所, 座 [suǒ, zuò]",他是大学老师。,Tā shì dàxué lǎoshī.,"{""vi"": ""Anh ấy là giảng viên đại học."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-daxuesheng,大学生,dàxuéshēng,đại học sinh,n,"{""vi"": ""sinh viên đại học"", ""en"": ""university student, college student""}",,"名, 个, 位 [míng, gè, wèi]",我不是大学生。,Wǒ bùshì dàxuéshēng.,"{""vi"": ""Tôi không phải sinh viên."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-dajia,大家,dàjiā,đại gia,pron,"{""vi"": ""mọi người"", ""en"": ""everybody""}",,,大家都来了。,Dàjiā dōu lái le.,"{""vi"": ""Mọi người đều đến rồi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-daqiu,打球,dǎqiú,đả cầu,v,"{""vi"": ""chơi bóng"", ""en"": ""play ball""}",,,我喜欢打球。,Wǒ xǐhuan dǎqiú.,"{""vi"": ""Tôi thích chơi bóng."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-dadianhua,打电话,dǎ diànhuà,đả điện thoại,v,"{""vi"": ""gọi điện, gọi điện thoại"", ""en"": ""make a phone call""}",,,我想给朋友打电话。,Wǒ xiǎng gěi péngyou dǎ diànhuà.,"{""vi"": ""Tôi muốn gọi điện thoại cho bạn bè."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-tingdao,听到,tīng dào,thính đến,v,"{""vi"": ""nghe thấy"", ""en"": ""hear""}",,,他听到有人说话。,Tā tīng dào yǒurén shuōhuà.,"{""vi"": ""Anh ấy nghe thấy có người nói chuyện."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-huidao,回到,huí dào,hồi đến,v,"{""vi"": ""trở về"", ""en"": ""go back to""}",,,我昨天回到学校。,Wǒ zuótiān huídào xuéxiào.,"{""vi"": ""Hôm qua tôi trở về trường."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-zhaodao2,找到,zhǎodào,tào đến,v,"{""vi"": ""tìm thấy"", ""en"": ""find""}",,,你找到你的手机了吗？,Nǐ zhǎodào nǐ de shǒujī le ma?,"{""vi"": ""Bạn tìm thấy điện thoại của bạn chưa?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-laidao,来到,lái dào,lai đến,v,"{""vi"": ""đến"", ""en"": ""come to; arrive""}",,,老师来到学校了。,Lǎoshī lái dào xuéxiào le.,"{""vi"": ""Cô giáo đến trường rồi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-kandao,看到,kàndào,khan đến,v,"{""vi"": ""nhìn thấy"", ""en"": ""see, catch sight of""}",,,我没看到你的手机。,Wǒ méi kàndào nǐ de shǒujī.,"{""vi"": ""Tôi không thấy điện thoại của bạn."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-youde,有的,yǒu de,hữu đích,pron,"{""vi"": ""có"", ""en"": ""some""}",,,这些衣服，有的长，有的短。,"Zhèxiē yīfu, yǒu de cháng, yǒu de duǎn.","{""vi"": ""Những bộ quần áo này, có bộ dài có bộ ngắn."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-zhende,真的,zhēn de,chân đích,,"{""vi"": ""thật ư"", ""en"": ""really""}",,,你真的要走吗？,Nǐ zhēn de yào zǒu ma?,"{""vi"": ""Bạn thật sự muốn đi không?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-shudian,书店,shūdiàn,thư điếm,n,"{""vi"": ""cửa hàng sách, tiệm"", ""en"": ""bookstore""}",,"个, 家 [gè, jiā]",我去书店买书。,Wǒ qù shūdiàn mǎi shū.,"{""vi"": ""Tôi đi hiệu sách mua sách."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-shangdian,商店,shāngdiàn,điếm,n,"{""vi"": ""tiệm tạp hóa, cửa hàng"", ""en"": ""shop, store""}",,"间, 家, 个 [jiān, jiā, gè]",这家商店很大。,Zhè jiā shāngdiàn hěn dà.,"{""vi"": ""Cửa hàng này rất lớn."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-fandian,饭店,fàndiàn,phạn điếm,n,"{""vi"": ""quán ăn, nhà hàng"", ""en"": ""restaurant""}",,"家, 个 [jiā, gè]",这家饭店很大。,Zhè jiā fàndiàn hěn dà.,"{""vi"": ""Nhà hàng này rất to."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-diannao,电脑,diànnǎo,điện,n,"{""vi"": ""máy tính"", ""en"": ""computer""}",,"个, 台, 部 [gè, tái, bù]",爸爸买了电脑。,Bàba mǎile diànnǎo.,"{""vi"": ""Bố mua máy tính rồi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-dianshi,电视,diànshì,điện thị,n,"{""vi"": ""truyền hình; TV"", ""en"": ""television""}",,"部, 台, 个 [bù, tái, gè]",妈妈在看电视。,Māma zài kàn diànshì.,"{""vi"": ""Mẹ tôi đang xem tivi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-dianshiji,电视机,diànshì jī,điện thị cơ,n,"{""vi"": ""[chiếc] TV"", ""en"": ""television""}",,"个, 台, 部 [gè, tái, bù]",我家有一台电视机。,Wǒ jiā yǒu yī tái diànshìjī.,"{""vi"": ""Nhà tôi có một cái tivi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-dianhua,电话,diànhuà,điện thoại,n,"{""vi"": ""điện thoại"", ""en"": ""phone, phone call""}",,"部, 台, 个, 次, 回 [bù, tái, gè, cì, huí]",妈妈在打电话。,Māma zài dǎ diànhuà.,"{""vi"": ""Mẹ đang gọi điện thoại."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-yidianr,一点儿,yīdiǎnr,nhất điểm nhi,,"{""vi"": ""một chút"", ""en"": ""a little, a bit""}",,,请给我一点儿水。,Qǐng gěi wǒ yīdiǎnr shuǐ.,"{""vi"": ""Vui lòng cho tôi một chút nước."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-youdianr,有点儿,yǒudiǎnr,hữu điểm nhi,adv,"{""vi"": ""hơi; có chút (thường dùng khi nói điều không tích cực)"", ""en"": ""a little; a bit (usually with a negative nuance)""}",,,今天有点儿冷。,Jīntiān yǒudiǎnr lěng.,"{""vi"": ""Hôm nay hơi lạnh."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-wufan,午饭,wǔfàn,ngọ phạn,n,"{""vi"": ""bữa trưa"", ""en"": ""lunch""}",,顿 [dùn],我们吃午饭吧。,Wǒmen chī wǔfàn ba.,"{""vi"": ""Chúng ta ăn trưa nhé."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-chifan2,吃饭,chīfàn,ngật phạn,v,"{""vi"": ""ăn cơm"", ""en"": ""have a meal""}",,,我们一起吃饭吧。,Wǒmen yīqǐ chīfàn ba.,"{""vi"": ""Chúng ta cùng ăn cơm nhé."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-zaofan,早饭,zǎofàn,tảo phạn,n,"{""vi"": ""bữa sáng"", ""en"": ""breakfast""}",,"顿, 份, 次, 餐 [dùn, fèn, cì, cān]",你吃早饭了吗？,Nǐ chī zǎofàn le ma?,"{""vi"": ""Bạn đã ăn sáng chưa?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-wanfan,晚饭,wǎnfàn,vãn phạn,n,"{""vi"": ""cơm tối, bữa tối"", ""en"": ""dinner, supper""}",,顿 [dùn],我们一起吃晚饭。,Wǒmen yìqǐ chī wǎnfàn.,"{""vi"": ""Chúng tôi cùng ăn bữa tối."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-mifan,米饭,mǐfàn,mễ phạn,n,"{""vi"": ""cơm"", ""en"": ""cooked Rice""}",,"碗, 盆, 锅 [wǎn, pén, guō]",他不喜欢米饭。,Tā bù xǐhuān mǐfàn.,"{""vi"": ""Anh ấy không thích cơm."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-fandian2,饭店,fàndiàn,phạn điếm,n,"{""vi"": ""quán ăn, nhà hàng"", ""en"": ""restaurant""}",,"家, 个 [jiā, gè]",我们今天晚上去饭店吃饭。,Wǒmen jīntiān wǎnshang qù fàndiàn chīfàn.,"{""vi"": ""Tối nay chúng ta đi nhà hàng ăn cơm."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-fanguan,饭馆,fànguǎn,phạn quán,n,"{""vi"": ""nhà hàng"", ""en"": ""restaurant""}",,"家, 个 [jiā, gè]",我最喜欢吃那个饭馆的烤鸭。,Wǒ zuì xǐhuān chī nàgè fànguǎn de kǎoyā.,"{""vi"": ""Món ăn tôi thích nhất là vịt quay ở nhà hàng đó."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-nage,哪个,nǎge,na cá,pron,"{""vi"": ""cái nào; người nào"", ""en"": ""which; which one""}",,,你喜欢哪个？,Nǐ xǐhuan nǎge?,"{""vi"": ""Bạn thích cái nào?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-zhege,这个,zhège,già cá,pron,"{""vi"": ""cái này; người này; điều này"", ""en"": ""this; this one""}",,那个 [nàge],我喜欢这个红色的包。,Wǒ xǐhuan zhège hóngsè de bāo.,"{""vi"": ""Tôi thích cái túi màu đỏ này."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nage2,那个,nàge,na cá,pron,"{""vi"": ""cái kia; người kia; đó"", ""en"": ""that; that one""}",,,那个是我的朋友。,Nàge shì wǒ de péngyou.,"{""vi"": ""Người kia là bạn của tôi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-gongren,工人,gōngrén,công nhân,n,"{""vi"": ""công nhân"", ""en"": ""worker""}",,"个, 位, 名, 些 [gè, wèi, míng, xiē]",我爸爸是工人。,Wǒ bàba shì gōngrén.,"{""vi"": ""Bố tôi là công nhân."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-gongzuo2,工作,gōngzuò,công tác,n,"{""vi"": ""công việc; nghề nghiệp"", ""en"": ""job; work""}",,"份, 个, 项, 种 [fèn, gè, xiàng, zhǒng]",我喜欢这份工作。,Wǒ xǐhuan zhè fèn gōngzuò.,"{""vi"": ""Tôi thích công việc này."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-zhongguo2,中国,zhōngguó,trung quốc,n,"{""vi"": ""nước Trung Quốc"", ""en"": ""China""}",,,日本和中国的许多茶都是绿茶。,Rìběn hé zhōngguó de xǔduō chá dōu shì lǜchá.,"{""vi"": ""Nhiều loại trà được tiêu thụ ở Nhật Bản và Trung Quốc là trà xanh."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-guowai,国外,guówài,quốc ngoại,n,"{""vi"": ""nước ngoài"", ""en"": ""foreign; oversea; abroad""}",,,他在国外工作。,Tā zài guówài gōngzuò.,"{""vi"": ""Anh ấy làm việc ở nước ngoài."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-shuiguo,水果,shuǐguǒ,thủy quả,n,"{""vi"": ""hoa quả"", ""en"": ""fruits""}",,"个, 袋, 斤, 公斤, 两 [gè, dài, jīn, gōngjīn, liǎng]",我不喜欢吃水果。,Wǒ bù xǐhuan chī shuǐguǒ.,"{""vi"": ""Tôi không thích ăn hoa quả."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-pingguo,苹果,píngguǒ,quả,n,"{""vi"": ""quả táo"", ""en"": ""apple""}",,"个, 斤, 筐, 箱, 棵, 种 [gè, jīn, kuāng, xiāng, kē, zhǒng]",我们买一些苹果了。,Wǒmen mǎi yīxiē píngguǒle.,"{""vi"": ""Chúng tôi đã mua một ít táo."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
